k,s,age_midpoint,hazard_per_year
5,0.04,95.0,0.06809002
5,0.04,97.0,0.06913828
5,0.04,99.0,0.06317829
5,0.04,101.0,0.07231588
5,0.04,103.0,0.06794606
5,0.04,105.0,0.06902761
5,0.04,107.0,0.06337047
5,0.04,109.0,0.06060606
5,0.04,111.0,0.06442831
5,0.04,113.0,0.06979167
5,0.04,115.0,0.05811138
5,0.04,117.0,0.04794521
5,0.04,119.0,0.05454545
6,0.0,7.0,0.00000500
6,0.0,9.0,0.00002500
6,0.0,11.0,0.00008501
6,0.0,13.0,0.00014003
6,0.0,15.0,0.00021011
6,0.0,17.0,0.00036534
6,0.0,19.0,0.00064607
6,0.0,21.0,0.00087759
6,0.0,23.0,0.00133628
6,0.0,25.0,0.00188890
6,0.0,27.0,0.00207303
6,0.0,29.0,0.00274170
6,0.0,31.0,0.00332350
6,0.0,33.0,0.00403441
6,0.0,35.0,0.00432629
6,0.0,37.0,0.00537275
6,0.0,39.0,0.00621302
6,0.0,41.0,0.00692780
6,0.0,43.0,0.00779546
6,0.0,45.0,0.00891637
6,0.0,47.0,0.00947101
6,0.0,49.0,0.01040880
6,0.0,51.0,0.01094549
6,0.0,53.0,0.01208618
6,0.0,55.0,0.01276497
6,0.0,57.0,0.01382784
6,0.0,59.0,0.01447946
6,0.0,61.0,0.01513076
6,0.0,63.0,0.01693346
6,0.0,65.0,0.01746316
6,0.0,67.0,0.01797011
6,0.0,69.0,0.01813645
6,0.0,71.0,0.01904867
6,0.0,73.0,0.02038750
6,0.0,75.0,0.02073930
6,0.0,77.0,0.02241558
6,0.0,79.0,0.02156514
6,0.0,81.0,0.02342847
6,0.0,83.0,0.02336766
6,0.0,85.0,0.02357545
6,0.0,87.0,0.02507014
6,0.0,89.0,0.02603621
6,0.0,91.0,0.02565713
6,0.0,93.0,0.02777336
6,0.0,95.0,0.02797644
6,0.0,97.0,0.02923351
6,0.0,99.0,0.02786192
6,0.0,101.0,0.02860389
6,0.0,103.0,0.02977245
6,0.0,105.0,0.03062109
6,0.0,107.0,0.02958770
6,0.0,109.0,0.03072328
6,0.0,111.0,0.03268925
6,0.0,113.0,0.03329766
6,0.0,115.0,0.03215551
6,0.0,117.0,0.03336304
6,0.0,119.0,0.03362974
6,0.004,5.0,0.00000500
6,0.004,7.0,0.00001000
6,0.004,9.0,0.00002000
6,0.004,11.0,0.00006500
6,0.004,13.0,0.00014003
6,0.004,15.0,0.00030014
6,0.004,17.0,0.00049554
6,0.004,19.0,0.00080166
6,0.004,21.0,0.00117933
6,0.004,23.0,0.00139339
6,0.004,25.0,0.00193198
6,0.004,27.0,0.00286111
6,0.004,29.0,0.00324937
6,0.004,31.0,0.00411134
6,0.004,33.0,0.00480705
6,0.004,35.0,0.00540693
6,0.004,37.0,0.00632077
6,0.004,39.0,0.00776432
6,0.004,41.0,0.00874441
6,0.004,43.0,0.00917076
6,0.004,45.0,0.01045641
6,0.004,47.0,0.01227770
6,0.004,49.0,0.01341764
6,0.004,51.0,0.01459297
6,0.004,53.0,0.01583005
6,0.004,55.0,0.01662458
6,0.004,57.0,0.01786262
6,0.004,59.0,0.01938118
6,0.004,61.0,0.02001898
6,0.004,63.0,0.02131818
6,0.004,65.0,0.02290112
6,0.004,67.0,0.02331186
6,0.004,69.0,0.02558679
6,0.004,71.0,0.02642310
6,0.004,73.0,0.02711287
6,0.004,75.0,0.02798964
6,0.004,77.0,0.03027088
6,0.004,79.0,0.03013436
6,0.004,81.0,0.03099891
6,0.004,83.0,0.03272431
6,0.004,85.0,0.03237151
6,0.004,87.0,0.03403506
6,0.004,89.0,0.03493249
6,0.004,91.0,0.03572892
6,0.004,93.0,0.03744850
6,0.004,95.0,0.03859154
6,0.004,97.0,0.03882449
6,0.004,99.0,0.04104181
6,0.004,101.0,0.03995318
6,0.004,103.0,0.04162518
6,0.004,105.0,0.04202619
6,0.004,107.0,0.04100791
6,0.004,109.0,0.04212415
6,0.004,111.0,0.04325680
6,0.004,113.0,0.04272111
6,0.004,115.0,0.04624332
6,0.004,117.0,0.04661499
6,0.004,119.0,0.04553744
6,0.01,7.0,0.00001000
6,0.01,9.0,0.00006000
6,0.01,11.0,0.00011502
6,0.01,13.0,0.00017006
6,0.01,15.0,0.00047534
6,0.01,17.0,0.00060601
6,0.01,19.0,0.00091763
6,0.01,21.0,0.00148699
6,0.01,23.0,0.00192474
6,0.01,25.0,0.00278194
6,0.01,27.0,0.00334174
6,0.01,29.0,0.00424497
6,0.01,31.0,0.00530388
6,0.01,33.0,0.00638904
6,0.01,35.0,0.00771427
6,0.01,37.0,0.00945696
6,0.01,39.0,0.01047129
6,0.01,41.0,0.01224394
6,0.01,43.0,0.01377777
6,0.01,45.0,0.01500507
6,0.01,47.0,0.01681816
6,0.01,49.0,0.01848499
6,0.01,51.0,0.02006294
6,0.01,53.0,0.02199671
6,0.01,55.0,0.02318682
6,0.01,57.0,0.02526933
6,0.01,59.0,0.02649652
6,0.01,61.0,0.02768881
6,0.01,63.0,0.03029584
6,0.01,65.0,0.03116526
6,0.01,67.0,0.03409454
6,0.01,69.0,0.03470602
6,0.01,71.0,0.03596072
6,0.01,73.0,0.03687641
6,0.01,75.0,0.03808696
6,0.01,77.0,0.03957658
6,0.01,79.0,0.04035226
6,0.01,81.0,0.04165384
6,0.01,83.0,0.04347988
6,0.01,85.0,0.04431001
6,0.01,87.0,0.04680212
6,0.01,89.0,0.04735514
6,0.01,91.0,0.04572288
6,0.01,93.0,0.04915173
6,0.01,95.0,0.04937283
6,0.01,97.0,0.05071069
6,0.01,99.0,0.05017301
6,0.01,101.0,0.05288462
6,0.01,103.0,0.05458269
6,0.01,105.0,0.05287964
6,0.01,107.0,0.05611261
6,0.01,109.0,0.05929626
6,0.01,111.0,0.05848530
6,0.01,113.0,0.05544186
6,0.01,115.0,0.05994978
6,0.01,117.0,0.05694246
6,0.01,119.0,0.06090690
6,0.02,7.0,0.00001000
6,0.02,9.0,0.00005500
6,0.02,11.0,0.00008501
6,0.02,13.0,0.00026008
6,0.02,15.0,0.00045037
6,0.02,17.0,0.00091157
6,0.02,19.0,0.00140497
6,0.02,21.0,0.00215869
6,0.02,23.0,0.00308277
6,0.02,25.0,0.00402229
6,0.02,27.0,0.00537238
6,0.02,29.0,0.00678841
6,0.02,31.0,0.00840005
6,0.02,33.0,0.01078768
6,0.02,35.0,0.01264198
6,0.02,37.0,0.01434814
6,0.02,39.0,0.01641018
6,0.02,41.0,0.01926908
6,0.02,43.0,0.02092844
6,0.02,45.0,0.02331875
6,0.02,47.0,0.02525397
6,0.02,49.0,0.02839958
6,0.02,51.0,0.03108034
6,0.02,53.0,0.03182252
6,0.02,55.0,0.03550521
6,0.02,57.0,0.03718747
6,0.02,59.0,0.03943246
6,0.02,61.0,0.04124970
6,0.02,63.0,0.04251123
6,0.02,65.0,0.04461758
6,0.02,67.0,0.04689327
6,0.02,69.0,0.04944934
6,0.02,71.0,0.04967350
6,0.02,73.0,0.04987981
6,0.02,75.0,0.04924846
6,0.02,77.0,0.05314829
6,0.02,79.0,0.05417758
6,0.02,81.0,0.05458633
6,0.02,83.0,0.05619490
6,0.02,85.0,0.05807870
6,0.02,87.0,0.05803380
6,0.02,89.0,0.06007376
6,0.02,91.0,0.05669535
6,0.02,93.0,0.05890769
6,0.02,95.0,0.06155690
6,0.02,97.0,0.06272113
6,0.02,99.0,0.06160353
6,0.02,101.0,0.05924916
6,0.02,103.0,0.06459672
6,0.02,105.0,0.06543716
6,0.02,107.0,0.06397359
6,0.02,109.0,0.07029560
6,0.02,111.0,0.06040268
6,0.02,113.0,0.06750954
6,0.02,115.0,0.06370656
6,0.02,117.0,0.06668774
6,0.02,119.0,0.06309263
6,0.04,5.0,0.00001000
6,0.04,7.0,0.00001000
6,0.04,9.0,0.00011000
6,0.04,11.0,0.00018005
6,0.04,13.0,0.00045528
6,0.04,15.0,0.00075616
6,0.04,17.0,0.00162494
6,0.04,19.0,0.00271203
6,0.04,21.0,0.00412312
6,0.04,23.0,0.00594279
6,0.04,25.0,0.00812572
6,0.04,27.0,0.01049024
6,0.04,29.0,0.01351844
6,0.04,31.0,0.01709491
6,0.04,33.0,0.02017569
6,0.04,35.0,0.02385934
6,0.04,37.0,0.02746430
6,0.04,39.0,0.03059284
6,0.04,41.0,0.03445801
6,0.04,43.0,0.03678937
6,0.04,45.0,0.04058397
6,0.04,47.0,0.04400043
6,0.04,49.0,0.04658180
6,0.04,51.0,0.04820118
6,0.04,53.0,0.05145504
6,0.04,55.0,0.05277653
6,0.04,57.0,0.05534831
6,0.04,59.0,0.05596245
6,0.04,61.0,0.05709252
6,0.04,63.0,0.05854846
6,0.04,65.0,0.06338973
6,0.04,67.0,0.05983094
6,0.04,69.0,0.06175957
6,0.04,71.0,0.06502099
6,0.04,73.0,0.06341483
6,0.04,75.0,0.06564900
6,0.04,77.0,0.06258085
6,0.04,79.0,0.06869994
6,0.04,81.0,0.06735714
6,0.04,83.0,0.06240713
6,0.04,85.0,0.06140351
6,0.04,87.0,0.06430108
6,0.04,89.0,0.06428924
6,0.04,91.0,0.06683659
6,0.04,93.0,0.06423668
6,0.04,95.0,0.06470368
6,0.04,97.0,0.06828953
6,0.04,99.0,0.06037924
6,0.04,101.0,0.07037457
6,0.04,103.0,0.05085865
6,0.04,105.0,0.07279412
6,0.04,107.0,0.06841652
6,0.04,109.0,0.06181456
6,0.04,111.0,0.06712173
6,0.04,113.0,0.06176084
6,0.04,115.0,0.06746627
6,0.04,117.0,0.06412478
6,0.04,119.0,0.07057654
7,0.0,5.0,0.00000500
7,0.0,9.0,0.00001500
7,0.0,11.0,0.00000500
7,0.0,13.0,0.00001000
7,0.0,15.0,0.00005000
7,0.0,17.0,0.00010502
7,0.0,19.0,0.00016006
7,0.0,21.0,0.00018013
7,0.0,23.0,0.00030032
7,0.0,25.0,0.00047579
7,0.0,27.0,0.00065170
7,0.0,29.0,0.00095373
7,0.0,31.0,0.00130257
7,0.0,33.0,0.00144716
7,0.0,35.0,0.00204808
7,0.0,37.0,0.00211744
7,0.0,39.0,0.00275367
7,0.0,41.0,0.00334321
7,0.0,43.0,0.00368577
7,0.0,45.0,0.00414478
7,0.0,47.0,0.00498700
7,0.0,49.0,0.00566755
7,0.0,51.0,0.00601648
7,0.0,53.0,0.00666457
7,0.0,55.0,0.00759000
7,0.0,57.0,0.00823716
7,0.0,59.0,0.00861912
7,0.0,61.0,0.00975184
7,0.0,63.0,0.01011071
7,0.0,65.0,0.01075812
7,0.0,67.0,0.01134479
7,0.0,69.0,0.01218638
7,0.0,71.0,0.01343778
7,0.0,73.0,0.01383538
7,0.0,75.0,0.01457633
7,0.0,77.0,0.01568724
7,0.0,79.0,0.01572477
7,0.0,81.0,0.01643719
7,0.0,83.0,0.01810889
7,0.0,85.0,0.01736195
7,0.0,87.0,0.01894191
7,0.0,89.0,0.01950642
7,0.0,91.0,0.02010962
7,0.0,93.0,0.02083996
7,0.0,95.0,0.02143374
7,0.0,97.0,0.02132198
7,0.0,99.0,0.02313531
7,0.0,101.0,0.02351994
7,0.0,103.0,0.02355480
7,0.0,105.0,0.02375911
7,0.0,107.0,0.02473763
7,0.0,109.0,0.02539976
7,0.0,111.0,0.02555581
7,0.0,113.0,0.02518116
7,0.0,115.0,0.02705710
7,0.0,117.0,0.02727731
7,0.0,119.0,0.02856686
7,0.004,5.0,0.00000500
7,0.004,9.0,0.00000500
7,0.004,11.0,0.00001000
7,0.004,13.0,0.00002500
7,0.004,15.0,0.00004500
7,0.004,17.0,0.00008502
7,0.004,19.0,0.00013005
7,0.004,21.0,0.00030519
7,0.004,23.0,0.00049060
7,0.004,25.0,0.00066647
7,0.004,27.0,0.00082290
7,0.004,29.0,0.00114592
7,0.004,31.0,0.00145081
7,0.004,33.0,0.00203098
7,0.004,35.0,0.00246031
7,0.004,37.0,0.00292108
7,0.004,39.0,0.00375870
7,0.004,41.0,0.00440201
7,0.004,43.0,0.00479556
7,0.004,45.0,0.00562620
7,0.004,47.0,0.00656851
7,0.004,49.0,0.00776168
7,0.004,51.0,0.00859632
7,0.004,53.0,0.00933761
7,0.004,55.0,0.01017997
7,0.004,57.0,0.01130196
7,0.004,59.0,0.01294571
7,0.004,61.0,0.01395978
7,0.004,63.0,0.01462388
7,0.004,65.0,0.01607781
7,0.004,67.0,0.01691875
7,0.004,69.0,0.01782189
7,0.004,71.0,0.01878122
7,0.004,73.0,0.02092722
7,0.004,75.0,0.02139897
7,0.004,77.0,0.02244494
7,0.004,79.0,0.02321968
7,0.004,81.0,0.02438612
7,0.004,83.0,0.02609510
7,0.004,85.0,0.02668273
7,0.004,87.0,0.02664302
7,0.004,89.0,0.02788919
7,0.004,91.0,0.03019022
7,0.004,93.0,0.03114909
7,0.004,95.0,0.03033113
7,0.004,97.0,0.03068246
7,0.004,99.0,0.03289869
7,0.004,101.0,0.03437962
7,0.004,103.0,0.03605470
7,0.004,105.0,0.03383207
7,0.004,107.0,0.03495010
7,0.004,109.0,0.03785570
7,0.004,111.0,0.03712561
7,0.004,113.0,0.03847311
7,0.004,115.0,0.04040322
7,0.004,117.0,0.03993497
7,0.004,119.0,0.03941789
7,0.01,7.0,0.00000500
7,0.01,11.0,0.00001000
7,0.01,13.0,0.00004500
7,0.01,15.0,0.00007501
7,0.01,17.0,0.00016004
7,0.01,19.0,0.00023514
7,0.01,21.0,0.00035538
7,0.01,23.0,0.00048586
7,0.01,25.0,0.00085234
7,0.01,27.0,0.00113504
7,0.01,29.0,0.00168126
7,0.01,31.0,0.00223746
7,0.01,33.0,0.00292229
7,0.01,35.0,0.00372026
7,0.01,37.0,0.00471989
7,0.01,39.0,0.00546559
7,0.01,41.0,0.00664903
7,0.01,43.0,0.00749388
7,0.01,45.0,0.00872561
7,0.01,47.0,0.01019948
7,0.01,49.0,0.01161238
7,0.01,51.0,0.01318072
7,0.01,53.0,0.01441060
7,0.01,55.0,0.01619271
7,0.01,57.0,0.01799008
7,0.01,59.0,0.01875269
7,0.01,61.0,0.02064701
7,0.01,63.0,0.02186799
7,0.01,65.0,0.02331090
7,0.01,67.0,0.02520937
7,0.01,69.0,0.02730592
7,0.01,71.0,0.02850393
7,0.01,73.0,0.02911166
7,0.01,75.0,0.03195022
7,0.01,77.0,0.03327042
7,0.01,79.0,0.03296447
7,0.01,81.0,0.03416120
7,0.01,83.0,0.03676846
7,0.01,85.0,0.03777147
7,0.01,87.0,0.03939719
7,0.01,89.0,0.04095469
7,0.01,91.0,0.04189432
7,0.01,93.0,0.04474454
7,0.01,95.0,0.04462098
7,0.01,97.0,0.04460889
7,0.01,99.0,0.04566757
7,0.01,101.0,0.04882834
7,0.01,103.0,0.04740308
7,0.01,105.0,0.04859300
7,0.01,107.0,0.04990877
7,0.01,109.0,0.04991133
7,0.01,111.0,0.05080214
7,0.01,113.0,0.05414578
7,0.01,115.0,0.05492446
7,0.01,117.0,0.05690041
7,0.01,119.0,0.05344418
7,0.02,7.0,0.00000500
7,0.02,11.0,0.00001500
7,0.02,13.0,0.00003500
7,0.02,15.0,0.00007501
7,0.02,17.0,0.00019005
7,0.02,19.0,0.00032521
7,0.02,21.0,0.00055071
7,0.02,23.0,0.00108760
7,0.02,25.0,0.00138130
7,0.02,27.0,0.00202480
7,0.02,29.0,0.00315070
7,0.02,31.0,0.00399007
7,0.02,33.0,0.00486353
7,0.02,35.0,0.00667793
7,0.02,37.0,0.00818605
7,0.02,39.0,0.00952340
7,0.02,41.0,0.01154767
7,0.02,43.0,0.01363667
7,0.02,45.0,0.01523308
7,0.02,47.0,0.01822209
7,0.02,49.0,0.01922393
7,0.02,51.0,0.02189879
7,0.02,53.0,0.02410860
7,0.02,55.0,0.02681499
7,0.02,57.0,0.02807550
7,0.02,59.0,0.03045940
7,0.02,61.0,0.03308670
7,0.02,63.0,0.03551180
7,0.02,65.0,0.03722564
7,0.02,67.0,0.04074012
7,0.02,69.0,0.04008515
7,0.02,71.0,0.04334499
7,0.02,73.0,0.04410298
7,0.02,75.0,0.04486592
7,0.02,77.0,0.04837924
7,0.02,79.0,0.04831170
7,0.02,81.0,0.05001592
7,0.02,83.0,0.05192622
7,0.02,85.0,0.05350180
7,0.02,87.0,0.05532526
7,0.02,89.0,0.05478218
7,0.02,91.0,0.05796343
7,0.02,93.0,0.05660377
7,0.02,95.0,0.05906703
7,0.02,97.0,0.06051888
7,0.02,99.0,0.06219134
7,0.02,101.0,0.06394281
7,0.02,103.0,0.06271620
7,0.02,105.0,0.06010318
7,0.02,107.0,0.06313526
7,0.02,109.0,0.05984340
7,0.02,111.0,0.06175349
7,0.02,113.0,0.06726587
7,0.02,115.0,0.06314908
7,0.02,117.0,0.06365031
7,0.02,119.0,0.06480668
7,0.04,9.0,0.00002000
7,0.04,11.0,0.00002500
7,0.04,13.0,0.00011001
7,0.04,15.0,0.00020506
7,0.04,17.0,0.00048535
7,0.04,19.0,0.00072623
7,0.04,21.0,0.00158498
7,0.04,23.0,0.00257623
7,0.04,25.0,0.00376803
7,0.04,27.0,0.00541722
7,0.04,29.0,0.00722823
7,0.04,31.0,0.00922664
7,0.04,33.0,0.01195117
7,0.04,35.0,0.01485737
7,0.04,37.0,0.01819715
7,0.04,39.0,0.02073437
7,0.04,41.0,0.02483988
7,0.04,43.0,0.02790662
7,0.04,45.0,0.03145610
7,0.04,47.0,0.03446578
7,0.04,49.0,0.03766292
7,0.04,51.0,0.04086559
7,0.04,53.0,0.04400828
7,0.04,55.0,0.04726133
7,0.04,57.0,0.04887869
7,0.04,59.0,0.04985986
7,0.04,61.0,0.05271997
7,0.04,63.0,0.05540800
7,0.04,65.0,0.05603049
7,0.04,67.0,0.05824924
7,0.04,69.0,0.05940919
7,0.04,71.0,0.06121182
7,0.04,73.0,0.06061121
7,0.04,75.0,0.06330500
7,0.04,77.0,0.06208524
7,0.04,79.0,0.06411012
7,0.04,81.0,0.06272332
7,0.04,83.0,0.06509496
7,0.04,85.0,0.06880792
7,0.04,87.0,0.06322685
7,0.04,89.0,0.06791372
7,0.04,91.0,0.06922777
7,0.04,93.0,0.06914894
7,0.04,95.0,0.06750722
7,0.04,97.0,0.06361980
7,0.04,99.0,0.06958942
7,0.04,101.0,0.07113985
7,0.04,103.0,0.06267672
7,0.04,105.0,0.06465517
7,0.04,107.0,0.06219059
7,0.04,109.0,0.06890459
7,0.04,111.0,0.06311475
7,0.04,113.0,0.06613508
7,0.04,115.0,0.06432432
7,0.04,117.0,0.07009926
7,0.04,119.0,0.06132756
